Datum,Kurs
13.12.2017,28.7
14.12.2017,29.15
15.12.2017,28.1
18.12.2017,27
19.12.2017,27.4
20.12.2017,27.25
21.12.2017,28.4
22.12.2017,29
27.12.2017,28.8
28.12.2017,29.2
29.12.2017,29.35
02.01.2018,28.9
03.01.2018,29.85
04.01.2018,30.3
05.01.2018,29.85
08.01.2018,29.85
09.01.2018,30.15
10.01.2018,29.6
11.01.2018,29.15
12.01.2018,29.65
15.01.2018,28.95
16.01.2018,31
17.01.2018,30.55
18.01.2018,30.05
19.01.2018,30.35
22.01.2018,30.8
23.01.2018,31.25
24.01.2018,31.5
25.01.2018,30.45
26.01.2018,30.15
29.01.2018,28
30.01.2018,27.95
31.01.2018,28.5
01.02.2018,26.55
02.02.2018,27.6
05.02.2018,27.05
06.02.2018,25.6
07.02.2018,25.55
08.02.2018,26.5
09.02.2018,25.75
12.02.2018,25.6
13.02.2018,26.3
14.02.2018,26.8
15.02.2018,27.2
20.02.2018,27.35
21.02.2018,27.2
22.02.2018,26.8
23.02.2018,27.5
26.02.2018,28.7
27.02.2018,28.25
28.02.2018,27.6
01.03.2018,27.6
02.03.2018,27.1
05.03.2018,26.8
06.03.2018,28.45
07.03.2018,27.85
08.03.2018,28
09.03.2018,28.65
12.03.2018,29.45
13.03.2018,29.4
14.03.2018,28.6
15.03.2018,29.05
16.03.2018,28
19.03.2018,28.45
20.03.2018,28.6
21.03.2018,27.9
22.03.2018,27.5
23.03.2018,26.05
26.03.2018,25.7
27.03.2018,26.75
28.03.2018,25.45
29.03.2018,25.55
03.04.2018,25.95
04.04.2018,25.35
06.04.2018,24.3
09.04.2018,25.75
10.04.2018,26.55
11.04.2018,26.4
12.04.2018,26.1
13.04.2018,26.1
16.04.2018,25.6
17.04.2018,25.6
18.04.2018,25.6
19.04.2018,25.6
20.04.2018,25.6
23.04.2018,25.6
24.04.2018,25.6
25.04.2018,25.6
26.04.2018,25.6
27.04.2018,25.6
30.04.2018,25.6
02.05.2018,25.6
03.05.2018,25.6
04.05.2018,25.6
07.05.2018,25.6
08.05.2018,25.6
09.05.2018,25.6
10.05.2018,25.6
11.05.2018,25.6
14.05.2018,25.6
15.05.2018,25.6
16.05.2018,25.6
17.05.2018,25.6
18.05.2018,25.6
21.05.2018,25.6
23.05.2018,25.6
24.05.2018,25.6
25.05.2018,25.6
28.05.2018,25.6
29.05.2018,25.6
30.05.2018,25.6
31.05.2018,25.6
01.06.2018,25.6
04.06.2018,25.6
05.06.2018,25.6
06.06.2018,25.6
07.06.2018,25.6
08.06.2018,25.6
11.06.2018,25.6
12.06.2018,25.6
13.06.2018,14.96
