X,Flugbewegungen,Passagiere
2008,100,100
2009,95.34545455,99.09502262
2010,97.74545455,99.09502262
2011,101.4545455,109.9547511
2012,98.18181818,112.2171946
2013,95.38181818,112.6696833
2014,96.36363636,115.3846154
2015,96.36363636,119.0045249
2016,97.85454545,125.3393665
2017,98.32727273,133.0316742
2018,99.80218182,137.0226244
2019,101.2992145,141.1333032
2020,102.8187028,145.3673023
2021,104.3609833,149.7283213
2022,105.9263981,154.220171
2023,107.515294,158.8467761
2024,109.1280234,163.6121794
2025,110.7649438,168.5205448
2026,112.4264179,173.5761611
2027,114.1128142,178.7834459
2028,115.8245064,184.1469493
2029,117.561874,189.6713578
2030,119.0540825,195.3614985
2031,121.1151817,201.2223435
2032,122.9319094,207.2590138
2033,124.775888,213.4767842
2034,126.6475264,219.8810877
2035,128.5472392,226.4775204
2036,130.4754478,233.271846
2037,132.4325796,240.2700014
2038,134.4190682,247.4781014
2039,136.4353543,254.9024444
2040,138.4818846,262.5495178
