Weeks in office,Biden,Bush,Clinton,Obama,Trump
0,,,25.6,,
1,20.0428571428571,,21,43.1714285714286,-1.18571428571429
2,17.5142857142857,35,20.4,41.5142857142857,-3.4
3,17.4,33.4,19.8,40.7,-5.21428571428572
4,15.0857142857143,32.8,18.2,36,-5.45714285714286
5,15.1142857142857,32,16.6,36.0142857142857,-6.25714285714286
6,15.0428571428571,31.2,13.4,32.5857142857143,-5.04285714285714
7,11.6142857142857,27,10.2,31.0428571428571,-5.3
8,12.3714285714286,26.6,8.13333333333333,28.8142857142857,-7.1
9,10.4714285714286,26.2,6.06666666666667,30.1571428571429,-10.0428571428571
10,12.5,25.8,4,29.1142857142857,-12.2857142857143
11,15.0285714285714,25.4,2.26666666666667,30.3857142857143,-11.5142857142857
12,11.7285714285714,24.5,0.533333333333333,30.2285714285714,-9.04285714285714
13,11.4714285714286,23.6,-1.2,30.6571428571429,-9.35714285714286
14,11.5857142857143,22.5,-2.46666666666667,31.0857142857143,-8.61428571428571
15,12.4,21.4,-3.73333333333333,31.9,-9.5
16,11.8571428571429,21,-5,29.6714285714286,-13.3571428571429
17,11.9,20.4,-5.8,28.4,-14.7142857142857
18,12.2285714285714,20.6,-6.4,28.1857142857143,-14.3571428571429
19,11.7,20.8,-7,26.0285714285714,-15.0857142857143
20,12.3142857142857,21,-6.2,26.2,-16.1571428571429
21,8.9,21,-5.4,26.1285714285714,-13.7571428571429
22,10.0571428571429,21,-4.6,26.0714285714286,-14.0857142857143
23,8.31428571428571,21,-3.8,23.7,-14.7428571428571
24,9.38571428571429,22,-2.6,19.7,-14.3285714285714
25,8.94285714285714,21.7,-2,18.7857142857143,-14.9
26,8.55714285714286,21.4,-1.4,14.7142857142857,-15.7857142857143
27,7.28571428571429,20.3,1.4,14.3571428571429,-16.8428571428571
28,6.21428571428572,19.2,4.2,13.8285714285714,-18.6
29,3.91428571428572,30.4,5,12.8428571428571,-18.4285714285714
30,-0.0999999999999994,42.8,5.8,10.4571428571429,-16.6714285714286
31,-1.78571428571429,53.6,6.6,9.6,-17.4
32,-3.78571428571429,59.8,7.2,10.6,-17.1714285714286
33,-4.31428571428571,66,7.8,9.34285714285714,-16.3285714285714
34,-4.17142857142857,79.4,7.4,11.4,-14.6285714285714
35,-4.64285714285714,79.8,7.4,11.3571428571429,-12.1857142857143
36,-3.57142857142857,79.2,6.1,11.0285714285714,-15.4285714285714
37,-7.35714285714286,78.6,4.8,11.7571428571429,-16.2
38,-8.28571428571429,79,4.2,11.8142857142857,-16.3142857142857
39,-9.27142857142857,78,5.3,8.98571428571428,-16.2285714285714
40,-9.04285714285714,77.6,6.4,8.15714285714286,-17.3
41,-8.48571428571428,77.2,8.6,7.4,-18
42,-10.3857142857143,76,11.2,9.11428571428572,-18.3714285714286
43,-12.0142857142857,75.2,13,7.77142857142857,-18.1428571428571
44,-10.9428571428571,74.4,14.8,6.01428571428571,-16.7714285714286
45,-9.42857142857143,73.6,16.6,5.07142857142857,-17.0285714285714
46,-8.17142857142857,72.8,16.4,3.3,-20.1428571428571
47,-7.21428571428571,71.2,16.2,4.45714285714286,-19.4571428571429
48,-10.0285714285714,70.7333333333333,15.8,4.65714285714286,-17.4142857142857
49,-10.5142857142857,70.2666666666667,15.4,4.8,-15.9428571428571
50,-11.6285714285714,69.8,15,3.98571428571429,-16.2285714285714
51,-11.0428571428571,68.8,13.6,3.41428571428572,-16.4714285714286
52,-13.9142857142857,67.7,13.1,5,-15.5571428571429
53,-13.5142857142857,66.6,12.6,2.7,-14.9142857142857
54,-13.2285714285714,65.6,11.9,2.57142857142857,-11.8428571428571
55,-12.9571428571429,64.6,11.2,1.55714285714286,-12.0142857142857
56,-11.9142857142857,63.8666666666667,10.5,1.5,-11.7857142857143
57,-13.1428571428571,63.1333333333333,9.8,1.4,-13.0714285714286
58,-11.5714285714286,62.4,9.4,2.55714285714286,-14.8428571428571
59,-8.98571428571429,60.6,8.6,2.77142857142857,-13.3857142857143
60,-12.6428571428571,59.4,8.6,0.5,-12.6142857142857
61,-12.0571428571429,58.2,8.6,1.11428571428571,-11.2428571428571
62,-12.9,57.8,6.2,1.78571428571429,-11.4285714285714
63,-11.8285714285714,57.4,5.8,0.614285714285715,-12.6
64,-11.2142857142857,58,5.4,1.01428571428572,-11.7428571428571
65,-12.6857142857143,58.6,2.8,1.81428571428571,-12.5428571428571
66,-11.5142857142857,56,2.35,2.15714285714286,-10.7857142857143
