Datum,Novartis,Roche,Eli Lilly
01/03/2018,0,0,0
01/04/2018,-0.53,0.2,0.54
01/05/2018,0.7,0.44,0.99
01/08/2018,0.53,-0.64,2.23
01/09/2018,1.75,-0.52,1.71
01/10/2018,0.37,-1.55,1.63
01/11/2018,-0.22,-2.63,1.68
01/12/2018,0.46,-2.11,2.02
01/15/2018,0.05,-2.67,2.72
01/16/2018,0.08,-6.01,0.72
01/17/2018,-0.31,-7.07,1.81
01/18/2018,-0.72,-7.13,1.35
01/19/2018,-0.14,-6.61,0.96
01/22/2018,-0.04,-6.09,0.9
01/23/2018,0.12,-5.66,-0.31
01/24/2018,2.87,-6.61,-0.45
01/25/2018,4.48,-7.89,0.39
01/26/2018,5.08,-7.83,2.83
01/29/2018,4.11,-8.2,3.45
01/30/2018,3.05,-7.63,1.67
01/31/2018,0.84,-8.62,-3.81
02/01/2018,0.03,-11.15,-2.68
02/02/2018,-1.03,-10.73,-4.13
02/05/2018,-2.47,-11.57,-8.49
02/06/2018,-5.34,-13.24,-7.9
02/07/2018,-3.94,-12.23,-9.4
02/08/2018,-6.41,-13.4,-12.36
02/09/2018,-7.3,-14,-9.98
02/12/2018,-5.53,-12.8,-9.96
02/13/2018,-6.52,-13.2,-10
02/14/2018,-4.97,-11.35,-9.03
02/15/2018,-4.65,-11.03,-7.86
02/16/2018,-3.22,-10.2,-6.74
02/19/2018,-4.57,-11.13,-8.42
02/20/2018,-3.63,-10.83,-8.42
02/21/2018,-3.94,-10.99,-8.85
02/22/2018,-4.21,-11.07,-7
02/23/2018,-4.93,-11.57,-5.31
02/26/2018,-3.59,-11.07,-7.06
02/27/2018,-4.38,-11.09,-9.05
02/28/2018,-5.19,-12.66,-9.66
03/01/2018,-6.06,-12.94,-8.8
03/02/2018,-7.47,-13.28,-8.24
03/05/2018,-5.62,-10.65,-8.85
03/06/2018,-8.43,-10.39,-8.55
03/07/2018,-7.78,-9.84,-6.84
03/08/2018,-6.39,-8.9,-5.99
03/09/2018,-6.15,-8.8,-6.66
03/12/2018,-5.8,-8.48,-6.53
03/13/2018,-6.94,-9.12,-7.31
03/14/2018,-6.77,-9.1,-7
03/15/2018,-6.53,-12.07,-4.95
03/16/2018,-6.58,-12.37,-7.03
03/19/2018,-7.34,-12.64,-7.45
03/20/2018,-7.14,-12.62,-7.61
03/21/2018,-7.18,-12.74,-9.62
03/22/2018,-8.52,-13.82,-11.71
03/23/2018,-9.84,-13.98,-10.04
03/26/2018,-10.89,-14.62,-10.65
03/27/2018,-9.05,-13.4,-9.06
03/28/2018,-6.63,-11.99,-8.63
03/29/2018,-7.47,-12.74,-10.6
03/30/2018,,,-8.43
