Datum,Summe
01.06.2014,2.91
01.09.2014,3.19
01.12.2014,3.84
01.03.2015,3.54
01.06.2015,4.045
01.09.2015,4.5
01.12.2015,5.85
01.03.2016,5.38
01.06.2016,6.43
01.09.2016,7.01
01.12.2016,8.81
01.03.2017,8.03
01.06.2017,9.32
01.09.2017,10.32
01.12.2017,12.97
01.03.2018,11.97
01.06.2018,13.23
01.09.2018,13.73
01.12.2018,16.91
01.03.2019,15.08
01.06.2019,16.89
01.09.2019,17.65
01.12.2019,21.09
01.03.2020,17.74
01.06.2020,18.69
01.09.2020,21.47
01.12.2020,28.07
01.03.2021,26.2
01.06.2021,29.1
01.09.2021,29.0
01.12.2021,33.6
