Datum,Zürich,Ostschweiz,Zentralschweiz
17.08.2020,100,100,100
18.08.2020,100,100,100
19.08.2020,100,100,100
20.08.2020,100,100,100
21.08.2020,100,100,100
22.08.2020,100,100,100
23.08.2020,100,100,100
24.08.2020,100,100,100
25.08.2020,100,100,100
26.08.2020,100,100,100
27.08.2020,94.06951,99.86499,98.81682
28.08.2020,94.06951,99.86499,98.81682
29.08.2020,94.06951,99.86499,98.81682
30.08.2020,94.06951,99.86499,98.81682
31.08.2020,94.06951,99.86499,98.81682
01.09.2020,94.06951,99.86499,98.81682
02.09.2020,94.06951,99.86499,98.81682
03.09.2020,94.06951,99.86499,98.81682
04.09.2020,94.06951,99.86499,98.81682
05.09.2020,94.06951,99.86499,98.81682
06.09.2020,94.06951,99.86499,98.81682
07.09.2020,99.23817,103.0788,101.2504
08.09.2020,99.23817,103.0788,101.2504
09.09.2020,99.23817,103.0788,101.2504
10.09.2020,99.23817,103.0788,101.2504
11.09.2020,99.23817,103.0788,101.2504
12.09.2020,99.23817,103.0788,101.2504
13.09.2020,99.23817,103.0788,101.2504
14.09.2020,99.23817,103.0788,101.2504
15.09.2020,99.23817,103.0788,101.2504
16.09.2020,99.23817,103.0788,101.2504
17.09.2020,93.59356,96.68804,95.49698
18.09.2020,93.59356,96.68804,95.49698
19.09.2020,93.59356,96.68804,95.49698
20.09.2020,93.59356,96.68804,95.49698
21.09.2020,93.59356,96.68804,95.49698
22.09.2020,93.59356,96.68804,95.49698
23.09.2020,93.59356,96.68804,95.49698
24.09.2020,93.59356,96.68804,95.49698
25.09.2020,93.59356,96.68804,95.49698
26.09.2020,93.59356,96.68804,95.49698
27.09.2020,93.59356,96.68804,95.49698
