X,China,Deutschland,USA,UK,JPN,CH,EU,Welt
,,,,,,,,
1980,12.42484853,41.99389305,20.07339725,49.98847444,27.22776168,96.49089832,51.10572912,38.70601016
1981,14.89718198,44.33021248,19.40225902,48.11468971,27.62883852,97.54356682,52.99506294,39.04703803
1982,19.69296831,44.53494532,17.53045075,48.33658598,27.29321047,89.45842504,52.92888651,38.06539858
1983,17.92110271,43.72017398,16.64681676,49.5109,25.06011604,88.40890371,52.99131041,37.25856595
1984,19.03261174,46.39590118,17.50912529,53.99419843,26.34058375,93.11316572,56.08818038,38.67241824
1985,20.71285501,48.07367909,16.57421411,53.54204826,24.59599743,94.28912989,56.39829428,38.1604003
1986,19.88147995,43.085753,16.85927817,49.24128273,18.15109001,88.2949532,50.08367218,35.32243947
1987,24.85766508,41.82644759,17.91825703,48.62633389,17.10636402,82.15943274,49.49618451,36.26161038
1988,30.06477059,42.66626056,19.01131795,46.16932009,17.18538751,84.5896838,50.10624783,37.80858433
1989,25.1056952,45.36462533,19.3598875,47.45449554,18.87221231,89.68595472,52.60936691,38.70938267
1990,24.27313211,46.01419185,19.76060562,47.02832926,19.66274882,83.70214449,51.79751881,38.73442957
1991,25.94972411,47.97455374,19.73551205,44.16095411,18.07394251,79.24402912,51.52509642,38.43704391
1992,30.14571646,45.05002006,19.89274386,45.127821,17.32980403,79.83341273,51.38159509,41.0088808
1993,36.05607787,40.64430528,19.98590435,48.48025705,16.01387871,78.47797237,50.61480186,40.23586806
1994,35.76981499,42.07295019,20.9935071,50.56172182,16.10447231,76.95232647,53.12897849,41.23993854
1995,34.27409603,43.5447211,22.38218386,50.04573776,16.67948188,77.09564281,55.7982147,43.40285714
1996,33.81474547,44.99672952,22.61124138,51.30521833,18.52450015,79.67016553,56.50391857,43.66092044
1997,34.53301736,49.60103503,23.34411917,50.18354729,20.04073819,89.37290706,59.79936647,45.61342385
1998,32.42469627,51.58287212,22.75973995,48.26150548,19.23202171,88.86629251,60.66957685,46.03406692
1999,33.52456673,53.3694452,23.19302563,48.76418377,18.34895982,90.07522477,61.51857468,46.55174909
2000,39.41053879,61.3899966,24.98318146,51.53089941,19.81965271,98.10559702,68.6244052,51.15585547
2001,38.52735928,61.97779664,22.80313626,51.78048458,19.79812812,96.16370429,67.99346741,50.01205729
2002,42.74740363,60.77300852,22.14965975,50.34232237,20.68561136,91.15303421,65.80813847,49.66002988
2003,51.803988,61.51913445,22.45058715,49.47157307,21.5831294,89.52990145,64.74460075,50.79692491
2004,59.50552422,65.85610978,24.29492051,49.51136982,23.92235646,93.99255351,67.40306771,54.0851904
2005,62.20789287,70.42119034,25.50066345,51.93899823,26.51549378,100.3298136,70.43900866,56.16948396
2006,64.4788839,77.0821686,26.87362225,55.82550643,30.33178162,104.5178372,74.91362917,58.41153044
2007,62.10461706,79.37053115,27.95893114,52.20208712,33.09388849,111.3108466,75.95632299,58.97496932
2008,57.4528722,80.94490464,29.94141012,56.46789408,34.39902043,114.7793951,77.56932211,60.82552104
2009,44.60542769,70.66504625,24.7658273,54.44468126,24.49089992,106.9301665,68.41211015,52.3100851
2010,48.88929937,79.30307822,28.05795364,58.53845059,28.61300771,117.2521767,75.68014642,56.81976771
2011,50.59983138,84.74773595,30.78929228,62.01012316,30.39300297,122.4961726,80.8904921,60.42748578
2012,48.10785883,85.87475437,30.5681846,61.08767794,30.63612369,123.6823644,82.22025363,60.4737967
2013,46.56523477,84.83642578,30.01300399,61.09460544,34.14752226,131.7965514,81.93309368,60.0208187
2014,44.87656028,84.36525681,29.96454064,58.03079225,37.5457698,116.8601163,82.37434561,59.70268257
2015,39.45306552,85.71197103,27.72614113,56.23916377,35.59640126,112.730195,83.22188334,57.79818762
2016,37.03381668,83.9622122,26.491003,58.12617668,31.26658245,120.1597991,82.48555716,56.09570885
2017,37.8033996,86.53371332,27.0909123,61.42628739,34.39674669,119.1075285,85.39443838,57.85042484
