X,
03.01.2000,1861.75
04.01.2000,1836.25
05.01.2000,1846
06.01.2000,1838.25
07.01.2000,1845
10.01.2000,1825.75
11.01.2000,1824.5
12.01.2000,1846
13.01.2000,1845.25
14.01.2000,1850.5
17.01.2000,1850.5
18.01.2000,1850.5
19.01.2000,1907.75
20.01.2000,1896.5
21.01.2000,1891.5
24.01.2000,1862.5
25.01.2000,1853
26.01.2000,1824.5
27.01.2000,1833.75
28.01.2000,1827.25
31.01.2000,1837.25
01.02.2000,1824.25
02.02.2000,1795
03.02.2000,1784
04.02.2000,1785.5
07.02.2000,1788
08.02.2000,1778
09.02.2000,1780
10.02.2000,1843.75
11.02.2000,1836.25
14.02.2000,1836.25
15.02.2000,1836.25
16.02.2000,1807.5
17.02.2000,1820.25
18.02.2000,1819
21.02.2000,1794.5
22.02.2000,1806.75
23.02.2000,1830
24.02.2000,1842.25
25.02.2000,1799.5
28.02.2000,1715.5
29.02.2000,1702.75
01.03.2000,1743.5
02.03.2000,1726.25
03.03.2000,1735.5
06.03.2000,1740
07.03.2000,1720.5
08.03.2000,1697
09.03.2000,1724.25
10.03.2000,1726.5
13.03.2000,1726.5
14.03.2000,1726.5
15.03.2000,1756.75
16.03.2000,1772.5
17.03.2000,1783
20.03.2000,1763
21.03.2000,1784.75
22.03.2000,1773.5
23.03.2000,1771.5
24.03.2000,1758.5
27.03.2000,1739.75
28.03.2000,1744.5
29.03.2000,1750
30.03.2000,1755.75
31.03.2000,1740.5
03.04.2000,1728.75
04.04.2000,1728
05.04.2000,1720.25
06.04.2000,1664.5
07.04.2000,1658.1
10.04.2000,1682.25
11.04.2000,1696
12.04.2000,1690.5
13.04.2000,1671
14.04.2000,1638.5
17.04.2000,1638.5
18.04.2000,1638.5
19.04.2000,1687.25
20.04.2000,1676.5
21.04.2000,1688.5
24.04.2000,1688.5
25.04.2000,1707.5
26.04.2000,1716.75
27.04.2000,1705.75
28.04.2000,1730
01.05.2000,1731
02.05.2000,1767.75
03.05.2000,1747
04.05.2000,1752.75
05.05.2000,1789.25
08.05.2000,1772.5
09.05.2000,1779.5
10.05.2000,1776
11.05.2000,1778.75
12.05.2000,1811.25
15.05.2000,1811.25
16.05.2000,1811.25
17.05.2000,1826.5
18.05.2000,1830
19.05.2000,1821.5
22.05.2000,1812.25
23.05.2000,1809.75
24.05.2000,1818.5
25.05.2000,1798
26.05.2000,1807
29.05.2000,1807
30.05.2000,1747.5
31.05.2000,1752
01.06.2000,1760.5
02.06.2000,1730.5
05.06.2000,1737.5
06.06.2000,1743.25
07.06.2000,1693.5
08.06.2000,1720
09.06.2000,1731
12.06.2000,1714.5
13.06.2000,1739.75
14.06.2000,1749.5
15.06.2000,1749.25
16.06.2000,1781.25
19.06.2000,1781.25
20.06.2000,1781.25
21.06.2000,1786.25
22.06.2000,1788.5
23.06.2000,1763.25
26.06.2000,1788.75
27.06.2000,1779
28.06.2000,1792.5
29.06.2000,1764
30.06.2000,1776.25
03.07.2000,1781
04.07.2000,1771.25
05.07.2000,1769.75
06.07.2000,1748
07.07.2000,1748
10.07.2000,1766
11.07.2000,1772.5
12.07.2000,1786.75
13.07.2000,1783.5
14.07.2000,1776.25
17.07.2000,1776.25
18.07.2000,1776.25
19.07.2000,1817.5
20.07.2000,1820
21.07.2000,1851
24.07.2000,1863.5
25.07.2000,1854.25
26.07.2000,1849
27.07.2000,1860.5
28.07.2000,1859.75
31.07.2000,1864
01.08.2000,1867.25
02.08.2000,1869
03.08.2000,1852.75
04.08.2000,1849.75
07.08.2000,1856.5
08.08.2000,1847.25
09.08.2000,1860.5
10.08.2000,1852.75
11.08.2000,1843.5
14.08.2000,1843.5
15.08.2000,1843.5
16.08.2000,1865.5
17.08.2000,1871.25
18.08.2000,1872
21.08.2000,1846.75
22.08.2000,1857
23.08.2000,1854.5
24.08.2000,1859
25.08.2000,1857.25
28.08.2000,1869
29.08.2000,1892.5
30.08.2000,1898.5
31.08.2000,1901.25
01.09.2000,1907.75
04.09.2000,1921.75
05.09.2000,1934.5
06.09.2000,1932.25
07.09.2000,1939.5
08.09.2000,1960
11.09.2000,1957
12.09.2000,1982.5
13.09.2000,1998.5
14.09.2000,1996.5
15.09.2000,1987.25
18.09.2000,1987.25
19.09.2000,1987.25
20.09.2000,1958.5
21.09.2000,1975
22.09.2000,1994.75
25.09.2000,2002.25
26.09.2000,1977.75
27.09.2000,1973
28.09.2000,1967.25
29.09.2000,1982.75
02.10.2000,1951.25
03.10.2000,1940
04.10.2000,1933.5
05.10.2000,1965.5
06.10.2000,1951.75
09.10.2000,1930.75
10.10.2000,1953.5
11.10.2000,1937
12.10.2000,1915.25
13.10.2000,1927.5
16.10.2000,1927.5
18.10.2000,1882
19.10.2000,1891.25
20.10.2000,1873
23.10.2000,1872.75
24.10.2000,1881.75
25.10.2000,1850.75
26.10.2000,1810.5
27.10.2000,1831
30.10.2000,1823.25
31.10.2000,1845.25
01.11.2000,1815
02.11.2000,1817.5
03.11.2000,1822.25
06.11.2000,1805.25
07.11.2000,1792.5
08.11.2000,1801
09.11.2000,1819.5
10.11.2000,1796.75
13.11.2000,1796.75
14.11.2000,1796.75
15.11.2000,1797.5
16.11.2000,1784
17.11.2000,1790.25
20.11.2000,1780.75
21.11.2000,1790
22.11.2000,1777.5
23.11.2000,1775.5
24.11.2000,1796.75
27.11.2000,1822.25
28.11.2000,1837.5
29.11.2000,1837.25
30.11.2000,1826
01.12.2000,1833.75
04.12.2000,1842
05.12.2000,1859
06.12.2000,1861.75
07.12.2000,1875
08.12.2000,1902
11.12.2000,1912.75
12.12.2000,1883.5
13.12.2000,1881.5
14.12.2000,1889.5
15.12.2000,1886.5
18.12.2000,1886.5
19.12.2000,1886.5
20.12.2000,1844
21.12.2000,1831.75
22.12.2000,1834.75
27.12.2000,1823.25
28.12.2000,1823.75
29.12.2000,1809
02.01.2001,1752.25
03.01.2001,1722.75
04.01.2001,1755
05.01.2001,1744.25
08.01.2001,1778.25
09.01.2001,1786
10.01.2001,1782
11.01.2001,1782
12.01.2001,1808
15.01.2001,1808
16.01.2001,1808
17.01.2001,1786
18.01.2001,1843
19.01.2001,1831
22.01.2001,1842.75
23.01.2001,1834.5
24.01.2001,1806.25
25.01.2001,1808.75
26.01.2001,1804
29.01.2001,1789.5
30.01.2001,1799
31.01.2001,1807.5
01.02.2001,1811.5
02.02.2001,1801.5
05.02.2001,1782.75
06.02.2001,1779.5
07.02.2001,1783
08.02.2001,1783
09.02.2001,1766.5
12.02.2001,1762.5
13.02.2001,1779
14.02.2001,1766
15.02.2001,1784.75
16.02.2001,1777.25
19.02.2001,1777.25
21.02.2001,1739
22.02.2001,1738.2
23.02.2001,1731.75
26.02.2001,1753
27.02.2001,1749.25
28.02.2001,1758
01.03.2001,1782.5
02.03.2001,1789.5
05.03.2001,1820.25
06.03.2001,1826.5
07.03.2001,1807
08.03.2001,1783.25
09.03.2001,1793.5
12.03.2001,1780.25
13.03.2001,1766
14.03.2001,1750.5
15.03.2001,1748
16.03.2001,1729.5
21.03.2001,1720
22.03.2001,1703
23.03.2001,1709.5
26.03.2001,1702.75
27.03.2001,1717.5
28.03.2001,1688.25
29.03.2001,1684.5
30.03.2001,1666.5
02.04.2001,1662.25
03.04.2001,1654.5
04.04.2001,1671.75
05.04.2001,1677.5
06.04.2001,1640.25
09.04.2001,1655.25
10.04.2001,1675.75
11.04.2001,1670.5
18.04.2001,1712.25
19.04.2001,1687.5
20.04.2001,1696.5
23.04.2001,1658.5
24.04.2001,1663.5
25.04.2001,1678.25
26.04.2001,1674
27.04.2001,1665.25
30.04.2001,1675.75
01.05.2001,1695.25
02.05.2001,1711
