X,Switzerland,United States,Germany,Italy
1995,56.16,48.46,51.39,49.91
1996,57.36,49.67,52.26,49.96
1997,59.07,50.39,53.54,50.89
1998,59.78,51.52,54.08,50.92
1999,59.51,53.04,54.7,51.28
2000,61.44,54.5,56.05,52.75
2001,62.85,55.69,57.46,53.11
2002,63.17,57.23,57.99,52.69
2003,62.87,58.97,58.44,52.32
2004,63.24,60.51,58.97,52.75
2005,64.69,61.77,59.9,52.99
2006,66.32,62.36,60.86,52.87
2007,67.6,63.23,61.58,52.83
2008,68.25,64.04,61.59,52.53
2009,66.72,66.09,59.74,51.49
2010,68.62,67.84,61.12,52.66
2011,68.23,67.86,62.71,53.01
2012,68.49,68.12,63.09,52.73
2013,69.76,68.41,63.39,53.15
2014,70.45,68.67,64.05,53.19
2015,69.98,69.05,64.38,53.22
2016,70.43,69.26,65.25,53.06
2017,71.56,69.88,66.41,53.4
2018,73.21,70.66,66.55,53.39
2019,73.62,71.52,67.02,53.66
2020,74.83,73.96,67.8,55.32
2021,76.95,74.84,68.19,54.36
2022,77.69,73.9,68.54,54.21
