X,Schweiz,Österreich,Deutschland,Frankreich,Italien
2000,60767.7071,57529.0175,51344.1012,43694.3469,45289.5845
2001,64157.52,57344.6596,51718.7972,43969.0309,45612.8435
2002,65448.016,58229.1678,52022.6832,45155.6726,45290.1009
2003,65111.6354,58368.8732,52195.61,45524.226,45168.0094
2004,64650.682,59473.2548,52188.859,46266.4568,46032.2579
2005,65657.7465,59801.3699,52377.6527,46823.7931,46654.2475
2006,65847,60698,52367,47347,46947
2007,66634,61047,52208,47520,46928
2008,66983,62081,52442,47429,46864
2009,68319,63135,52453,48938,47224
2010,67961,62831,52912,49926,47629
2011,68401,62159,53980,49836,46866
2012,69383,62515,54699,50159,45379
2013,70280,62568,55215,50581,45527
2014,70412,62801,56141,50929,45704
2015,70797,63231,57431,51415,46103
2016,70468,63860,58311,52010,46469
2017,70087,63856,58924,52732,46169
2018,69892,64101,59750,52664,46230
2019,71189,64623,60732,53172,46460
2020,69728,64648,60309,50550,44246
2021,72358.4397,65402.3163,60291.2418,52542.1889,45960.6456
2022,72993.0243,63801.6205,58940.3278,52763.5938,44893.3347
