X,Einkommensschwach,Unterer Mittelstand,Oberer Mittelstand,Einkommensstark
2000,21.3,28.7,29.4,20.6
2001,21.1,28.9,31.3,18.7
2002,22.4,27.6,30.3,19.7
2003,20.5,29.5,31.6,18.4
2004,20.8,29.2,30.2,19.8
2005,22.1,27.9,31.7,18.4
2006,22.6,27.4,30.4,19.5
2007,22.2,27.8,29.8,20.2
2008,22.2,27.8,30.0,19.9
2009,20.0,30.0,31.3,18.7
2010,23.0,26.9,30.9,19.2
2011,22.1,27.8,29.4,20.6
2012,22.7,27.2,29.9,20.1
2013,22.9,27.2,29.5,20.4
2014,22.9,27.1,30.1,19.9
2015,21.7,28.3,30.6,19.3
2016,22.8,27.2,29.2,20.8
2017,24.1,25.9,29.9,20.1
2018,24.8,25.2,29.2,20.8
2019,23.6,26.4,31.2,18.8
2020,23.3,26.7,28.7,21.3
2021,21.8,28.2,29.4,20.6
