X,Last Price
23.05.2022,168.98
24.05.2022,161.54
25.05.2022,169.75
26.05.2022,178.51
27.05.2022,188.11
31.05.2022,186.72
01.06.2022,183.2
02.06.2022,195.92
03.06.2022,187.2
06.06.2022,187.86
07.06.2022,189.26
08.06.2022,186.48
09.06.2022,180.48
10.06.2022,169.74
13.06.2022,156.47
14.06.2022,158.36
15.06.2022,165.27
16.06.2022,156.01
17.06.2022,158.8
21.06.2022,165.66
22.06.2022,163.6
23.06.2022,162.25
24.06.2022,171.26
27.06.2022,168.69
28.06.2022,159.82
29.06.2022,155.42
30.06.2022,151.59
01.07.2022,145.23
05.07.2022,149.64
06.07.2022,151.3
07.07.2022,158.58
08.07.2022,158.38
11.07.2022,151.52
12.07.2022,150.82
13.07.2022,151.64
14.07.2022,153.72
15.07.2022,157.62
18.07.2022,161.01
19.07.2022,169.92
20.07.2022,178.07
21.07.2022,180.5
22.07.2022,173.19
25.07.2022,170.24
26.07.2022,165.33
27.07.2022,177.9
28.07.2022,179.84
29.07.2022,181.63
01.08.2022,184.41
02.08.2022,185.26
03.08.2022,188.93
04.08.2022,192.15
05.08.2022,189.89
08.08.2022,177.93
09.08.2022,170.86
10.08.2022,180.97
11.08.2022,179.42
12.08.2022,187.09
15.08.2022,190.32
16.08.2022,188.79
17.08.2022,183.35
18.08.2022,187.73
19.08.2022,178.49
22.08.2022,170.34
23.08.2022,171.81
24.08.2022,172.22
25.08.2022,179.13
26.08.2022,162.6
29.08.2022,158.01
30.08.2022,154.68
31.08.2022,150.94
01.09.2022,139.37
02.09.2022,136.47
06.09.2022,134.65
07.09.2022,137.14
08.09.2022,139.9
09.09.2022,143.87
12.09.2022,145.05
13.09.2022,131.31
14.09.2022,131.28
15.09.2022,129.29
16.09.2022,131.98
19.09.2022,133.82
20.09.2022,131.76
21.09.2022,132.61
22.09.2022,125.61
23.09.2022,125.16
26.09.2022,122.28
27.09.2022,124.13
28.09.2022,127.36
29.09.2022,122.2
30.09.2022,121.39
03.10.2022,125.12
04.10.2022,131.67
05.10.2022,132.09
06.10.2022,131.3
07.10.2022,120.76
10.10.2022,116.7
11.10.2022,115.86
12.10.2022,115
13.10.2022,119.6
14.10.2022,112.27
17.10.2022,118.88
18.10.2022,119.67
19.10.2022,120.51
20.10.2022,121.94
21.10.2022,124.66
24.10.2022,125.99
25.10.2022,132.61
26.10.2022,128.96
27.10.2022,131.76
28.10.2022,138.34
31.10.2022,134.97
01.11.2022,135.43
02.11.2022,132.19
03.11.2022,134.21
04.11.2022,141.56
07.11.2022,143.01
08.11.2022,146.02
09.11.2022,137.76
10.11.2022,157.5
11.11.2022,163.27
14.11.2022,162.95
15.11.2022,166.66
16.11.2022,159.1
17.11.2022,156.77
18.11.2022,154.09
21.11.2022,153.17
22.11.2022,160.38
23.11.2022,165.19
25.11.2022,162.7
28.11.2022,158.27
29.11.2022,156.39
30.11.2022,169.23
01.12.2022,171.35
02.12.2022,168.76
05.12.2022,166.1
06.12.2022,159.87
07.12.2022,161.2
08.12.2022,171.69
09.12.2022,170.01
12.12.2022,175.35
13.12.2022,180.72
14.12.2022,176.74
15.12.2022,169.52
16.12.2022,165.71
19.12.2022,162.54
20.12.2022,160.85
21.12.2022,165.01
22.12.2022,153.39
23.12.2022,152.06
27.12.2022,141.21
28.12.2022,140.36
29.12.2022,146.03
30.12.2022,146.14
03.01.2023,143.15
04.01.2023,147.49
05.01.2023,142.65
06.01.2023,148.59
09.01.2023,156.28
10.01.2023,159.09
11.01.2023,160.01
12.01.2023,165.11
13.01.2023,168.99
17.01.2023,177.02
18.01.2023,173.77
19.01.2023,167.65
20.01.2023,178.39
23.01.2023,191.93
24.01.2023,192.65
25.01.2023,193.23
26.01.2023,198.02
27.01.2023,203.65
30.01.2023,191.62
31.01.2023,195.37
01.02.2023,209.43
02.02.2023,217.09
03.02.2023,211
06.02.2023,210.89
07.02.2023,221.73
08.02.2023,222.05
09.02.2023,223.37
10.02.2023,212.65
13.02.2023,217.88
14.02.2023,229.71
15.02.2023,227.64
16.02.2023,220.02
17.02.2023,213.88
21.02.2023,206.55
22.02.2023,207.54
23.02.2023,236.64
24.02.2023,232.86
27.02.2023,235.01
28.02.2023,232.16
01.03.2023,226.98
02.03.2023,233.14
03.03.2023,238.9
06.03.2023,235.54
07.03.2023,232.88
08.03.2023,241.81
09.03.2023,234.36
10.03.2023,229.65
13.03.2023,229.66
14.03.2023,240.63
15.03.2023,242.28
16.03.2023,255.41
17.03.2023,257.25
20.03.2023,259
21.03.2023,261.99
22.03.2023,264.68
23.03.2023,271.91
24.03.2023,267.79
27.03.2023,265.31
28.03.2023,264.1
29.03.2023,269.84
30.03.2023,273.83
31.03.2023,277.77
03.04.2023,279.65
04.04.2023,274.53
05.04.2023,268.81
06.04.2023,270.37
10.04.2023,275.79
11.04.2023,271.69
12.04.2023,264.95
13.04.2023,264.63
14.04.2023,267.58
17.04.2023,270.02
18.04.2023,276.67
19.04.2023,279.31
20.04.2023,271.04
21.04.2023,271.19
24.04.2023,270.42
25.04.2023,262.41
26.04.2023,269.56
27.04.2023,272.26
28.04.2023,277.49
01.05.2023,289.1
02.05.2023,282.1
03.05.2023,278.02
04.05.2023,275.62
05.05.2023,286.8
08.05.2023,291.51
09.05.2023,285.71
10.05.2023,288.85
11.05.2023,285.78
12.05.2023,283.4
15.05.2023,289.53
16.05.2023,292.13
17.05.2023,301.78
18.05.2023,316.78
19.05.2023,312.64
22.05.2023,311.76
23.05.2023,306.88
24.05.2023,305.38
25.05.2023,379.8
26.05.2023,389.46
30.05.2023,401.11
31.05.2023,378.34
01.06.2023,397.7
02.06.2023,393.27
05.06.2023,391.71
06.06.2023,386.54
07.06.2023,374.75
08.06.2023,385.1
09.06.2023,387.7
12.06.2023,394.82
13.06.2023,410.22
14.06.2023,429.97
15.06.2023,426.53
16.06.2023,426.92
20.06.2023,438.08
21.06.2023,430.45
22.06.2023,430.25
23.06.2023,422.09
26.06.2023,406.32
27.06.2023,418.76
28.06.2023,411.17
29.06.2023,408.22
30.06.2023,423.02
03.07.2023,424.13
05.07.2023,423.17
06.07.2023,421.03
07.07.2023,425.03
10.07.2023,421.8
11.07.2023,424.05
12.07.2023,439.02
13.07.2023,459.77
14.07.2023,454.69
17.07.2023,464.61
18.07.2023,474.94
19.07.2023,470.77
20.07.2023,455.2
21.07.2023,443.09
24.07.2023,446.12
25.07.2023,456.79
26.07.2023,454.52
27.07.2023,459
28.07.2023,467.5
31.07.2023,467.29
01.08.2023,465.07
02.08.2023,442.69
03.08.2023,445.15
04.08.2023,446.8
07.08.2023,454.165
08.08.2023,446.64
09.08.2023,425.54
10.08.2023,423.88
11.08.2023,408.55
14.08.2023,437.53
15.08.2023,439.4
16.08.2023,434.86
17.08.2023,433.435
18.08.2023,432.99
21.08.2023,469.67
22.08.2023,456.68
23.08.2023,471.16
24.08.2023,471.63
25.08.2023,460.18
28.08.2023,468.35
29.08.2023,487.84
30.08.2023,492.64
31.08.2023,493.55
01.09.2023,485.09
05.09.2023,485.48
06.09.2023,470.61
07.09.2023,462.41
08.09.2023,455.72
11.09.2023,451.78
12.09.2023,448.7
13.09.2023,454.85
14.09.2023,455.81
15.09.2023,439
18.09.2023,439.66
19.09.2023,435.2
20.09.2023,422.39
21.09.2023,410.17
22.09.2023,416.1
25.09.2023,422.22
26.09.2023,419.11
27.09.2023,424.68
28.09.2023,430.89
29.09.2023,434.99
02.10.2023,447.82
03.10.2023,435.17
04.10.2023,440.41
05.10.2023,446.88
06.10.2023,457.62
09.10.2023,452.73
10.10.2023,457.98
11.10.2023,468.06
12.10.2023,469.45
13.10.2023,454.61
16.10.2023,460.95
17.10.2023,439.38
18.10.2023,421.96
19.10.2023,421.01
20.10.2023,413.87
23.10.2023,429.75
24.10.2023,436.63
25.10.2023,417.79
26.10.2023,403.26
27.10.2023,405
30.10.2023,411.61
31.10.2023,407.8
01.11.2023,423.25
02.11.2023,435.06
03.11.2023,450.05
06.11.2023,457.51
07.11.2023,459.55
