Date,"Machine tools (including CNC machines), electronics, including microelectronics (e.g., semiconductors)","Components for nuclear reactors, boilers, mechanical devices and spare parts (e.g., ball bearings)",Components for railway construction,Steel and iron products,Plastics products,Rubber and composite products
10-2021,1135750000,1239750000,373105000,160257000,216849000,81066000
11-2021,1607429000,1461413000,387634000,164408000,265707000,80373000
12-2021,1992554000,1902219000,420992000,220895000,293957000,96953000
1-2022,1494908000,1621530000,551038000,214037000,322117000,111075000
2-2022,1113412000,1356404000,410149000,117140000,69558000,63514000
3-2022,613770000,1212808000,427329000,87586000,164637000,51036000
4-2022,627672000,889052000,328609000,98555000,179415000,55679000
5-2022,643849000,837403000,264498000,125271000,251296000,85886000
6-2022,714513000,930547000,336372000,145008000,292621000,108729000
7-2022,1092083000,1323019000,409580000,193780000,404287000,169057000
8-2022,1363345000,1586440000,454212000,207442000,445248000,193366000
9-2022,1534178000,1794305000,599666000,192867000,383340000,203061000
10-2022,1302206000,1727745000,673729000,175645000,346465000,176565000
11-2022,1327163000,1689745000,851120000,188702000,354184000,150375000
12-2022,1532844000,1941511000,995721000,175439000,409432000,181662000
1-2023,1236339000,1886899000,1037747000,188161000,384900000,182856000
2-2023,1040136000,1515829000,1285817000,126533000,343474000,153648000
3-2023,1334746000,2140318000,1751947000,192819000,420925000,207514000
4-2023,1399205000,2214936000,1997081000,227475000,414275000,167103000
5-2023,1264315000,2290424000,1881612000,189760000,360212000,182595000
6-2023,1374330000,2189552000,2005857000,207669000,355940000,206926000
7-2023,1460499000,2083154000,2464556000,375984000,377835000,211614000
8-2023,1332981000,2054975000,1825162000,357787000,363549000,194392000
9-2023,1527319000,2161022000,2168106000,212113000,346052000,205923000
10-2023,1400931000,1986041000,2048463000,189997000,331860000,149807000
11-2023,1663647000,2387269000,2306840000,202674000,400341000,200269000
12-2023,2113985000,2391883000,1760028000,205723000,386741000,192811000
1-2024,1390923000,2159501000,1632476000,221912000,362497000,196439000
2-2024,1199391000,1923816000,1204970000,179315000,296747000,148652000
3-2024,1006217000,1904602000,1400098000,313152,338593000,148664000
