Datum,Novartis,Abbvie,Merck & Co.,Eli Lilly
04/23/2019,0,0,0,0
04/24/2019,2.44,0.01,0.17,0.43
04/25/2019,5.21,0.86,2.33,0.63
04/26/2019,6.01,1.32,2.72,2.03
04/29/2019,6.01,2.08,2.92,1.8
04/30/2019,6.79,0.93,5.51,-0.38
05/01/2019,,0.29,5.52,0.59
05/02/2019,6.71,-0.24,6.6,0.83
05/03/2019,7.41,0.06,7.24,-0.49
05/06/2019,7.44,0.76,6.54,-0.71
05/07/2019,6.45,-0.9,4.42,-2.17
05/08/2019,7.19,-0.85,4.8,-1.06
05/09/2019,4.84,-0.95,5,-1.44
05/10/2019,5.42,-1.54,4.81,-1.08
05/13/2019,3.62,-2.28,3.45,-2.66
05/14/2019,4.57,-0.28,3.78,-2.17
05/15/2019,5.59,0.15,3.95,-1.59
05/16/2019,7.6,1.07,6.07,-0.65
05/17/2019,7.93,1.02,5.52,-1.26
05/20/2019,6.43,1.47,5.74,-1.07
05/21/2019,7.3,2.82,6.57,-0.77
05/22/2019,8.03,3.72,8.55,0.42
05/23/2019,8.7,3.17,8.61,-0.58
05/24/2019,11.97,1.78,8.81,-0.6
05/27/2019,13.6,,,
05/28/2019,13.53,-0.8,7.59,-1.47
05/29/2019,11.55,-0.76,6.38,-1.7
05/30/2019,,-1.33,6.81,-1.35
05/31/2019,10.5,-2.48,6.18,-1.32
06/03/2019,12.26,-3.76,7.59,-0.61
06/04/2019,11.55,-2.43,8.69,0.06
06/05/2019,11.96,-2.03,9.5,-0.4
06/06/2019,12.08,-2.02,9.17,0.01
06/07/2019,12.04,-1.56,10.54,0.73
06/10/2019,,-2.17,10.56,-3.03
06/11/2019,12.59,-0.62,11.23,-4.49
06/12/2019,13.38,-0.11,12.21,-1.92
06/13/2019,14.22,0.37,11.13,-4.83
06/14/2019,14.75,0.04,10.97,-4.89
06/17/2019,15.09,-0.01,11.66,-3.48
06/18/2019,17.34,-0.52,13.26,-2.42
06/19/2019,16.73,-1.33,14.42,-1.92
06/20/2019,16.91,-0.41,13.4,-1.64
06/21/2019,15.66,0.15,13.36,-1.7
06/24/2019,15.79,-0.27,14.62,-1.58
