Zeit,EU-Militärhilfen,US-Militärhilfen,EU-Total,US-Total
1-2022,0.00,0.00,0.00,0.00
2-2022,1.01,0.32,3.81,0.05
3-2022,1.70,1.23,6.14,9.38
4-2022,5.06,3.35,12.13,16.32
5-2022,6.26,4.69,15.37,23.51
6-2022,6.80,7.77,16.12,23.71
7-2022,7.53,9.13,20.21,24.07
8-2022,7.86,13.96,20.84,24.08
9-2022,8.09,16.12,26.83,34.32
10-2022,9.81,17.61,28.24,34.32
11-2022,11.01,18.70,29.54,34.32
12-2022,11.73,20.64,51.78,68.72
1-2023,14.52,25.88,54.15,68.72
2-2023,15.73,30.10,57.97,68.72
3-2023,16.62,30.78,60.22,68.72
4-2023,18.60,33.45,64.86,68.72
5-2023,22.78,35.43,79.65,68.72
6-2023,23.67,38.10,129.84,68.72
7-2023,24.75,40.38,131.50,68.72
8-2023,26.67,40.79,131.97,68.72
9-2023,27.99,41.79,132.05,68.72
10-2023,29.78,42.11,132.51,68.72
11-2023,31.19,42.61,138.08,68.72
12-2023,32.93,43.18,141.33,68.72
1-2024,32.93,43.18,142.03,68.72
