Meta,Meta,Alphabet
26.04.2024,439.8,171.87
19.04.2024,481.07,154.09
12.04.2024,511.9,157.73
05.04.2024,527.34,152.5
29.03.2024,485.58,150.93
22.03.2024,509.58,150.77
15.03.2024,484.1,141.18
08.03.2024,505.95,135.41
01.03.2024,502.3,137.14
23.02.2024,484.03,143.96
16.02.2024,473.32,140.52
09.02.2024,468.11,149
02.02.2024,474.99,142.38
26.01.2024,394.14,152.185
19.01.2024,383.45,146.38
12.01.2024,374.49,142.65
05.01.2024,351.95,135.73
29.12.2023,353.96,139.69
22.12.2023,353.39,141.49
15.12.2023,334.92,132.6
08.12.2023,332.75,134.99
01.12.2023,324.82,131.86
24.11.2023,338.23,136.69
17.11.2023,335.04,135.31
10.11.2023,328.77,132.59
03.11.2023,314.6,129.1
27.10.2023,296.73,122.17
20.10.2023,308.65,135.6
13.10.2023,314.69,137.36
06.10.2023,315.43,137.58
29.09.2023,300.21,130.86
22.09.2023,299.08,130.25
15.09.2023,300.31,137.4
08.09.2023,297.89,136.38
01.09.2023,296.38,135.66
25.08.2023,285.5,129.88
18.08.2023,283.25,127.46
11.08.2023,301.64,129.56
04.08.2023,310.73,128.11
28.07.2023,325.48,132.58
21.07.2023,294.26,120.02
14.07.2023,308.87,125.42
07.07.2023,290.53,119.48
30.06.2023,286.98,119.7
23.06.2023,288.73,122.34
16.06.2023,281,123.53
09.06.2023,264.95,122.23
02.06.2023,272.61,124.67
26.05.2023,262.04,124.61
19.05.2023,245.64,122.76
12.05.2023,233.81,117.51
05.05.2023,232.78,105.57
28.04.2023,240.32,107.34
21.04.2023,212.89,105.41
14.04.2023,221.49,108.87
07.04.2023,216.1,108.42
31.03.2023,211.94,103.73
24.03.2023,206.01,105.44
17.03.2023,195.61,101.62
10.03.2023,179.51,90.63
03.03.2023,185.25,93.65
24.02.2023,170.39,89.13
17.02.2023,172.88,94.35
10.02.2023,174.15,94.57
03.02.2023,186.53,104.78
27.01.2023,151.74,99.37
20.01.2023,139.37,98.02
13.01.2023,136.98,92.12
06.01.2023,130.02,87.34
30.12.2022,120.34,88.23
23.12.2022,118.04,89.23
16.12.2022,119.43,90.26
09.12.2022,115.9,92.83
02.12.2022,123.49,100.44
25.11.2022,111.41,97.46
18.11.2022,112.05,97.43
11.11.2022,113.02,96.41
04.11.2022,90.79,86.58
28.10.2022,99.2,96.29
21.10.2022,130.01,101.13
14.10.2022,126.76,96.56
07.10.2022,133.45,98.68
30.09.2022,135.68,95.65
23.09.2022,140.41,98.74
16.09.2022,146.29,102.8
09.09.2022,169.15,110.65
02.09.2022,160.32,107.85
26.08.2022,161.78,110.34
19.08.2022,167.96,117.21
12.08.2022,180.5,121.68
05.08.2022,167.11,117.47
29.07.2022,159.1,116.32
22.07.2022,169.27,107.9
15.07.2022,164.7,111.777
08.07.2022,170.88,119.354
01.07.2022,160.03,108.738
24.06.2022,170.16,117.975
17.06.2022,163.74,107.144
10.06.2022,175.57,111.161
03.06.2022,190.78,114.541
27.05.2022,195.13,112.316
20.05.2022,193.54,108.908
13.05.2022,198.62,116.05
06.05.2022,203.77,115.746
29.04.2022,200.47,114.109
