Jahr,Polen,Slowakei,Slowenien,Tschechien,Ungarn,EU-27-Schnitt
2000,48.27736352,51.32531432,81.36940075,73.25967452,53.61127742,100
2001,47.87701851,53.34124345,81.65113266,75.87466629,56.8799796,100
2002,48.66412694,54.90440795,83.48892098,75.2356461,59.93689264,100
2003,49.63523758,57.21088335,85.25061122,78.85558556,62.52367389,100
2004,51.5101297,58.63939604,87.77023933,80.64097298,62.74698659,100
2005,51.71410914,61.75700731,88.75013633,82.02457556,63.66561239,100
2006,51.935178,64.56339971,88.05275407,81.71709335,63.01180933,100
2007,54.04656884,67.97567701,88.62496894,84.30775998,61.41840679,100
2008,56.25383504,72.52429683,90.89289602,85.54858376,63.65669722,100
2009,59.8730193,72.05551559,86.35851465,86.77429951,65.07033001,100
2010,63.25097989,76.34292874,84.57559596,84.41495856,66.1022939,100
2011,65.54883993,75.99922012,84.10996296,84.30493274,66.95262234,100
2012,67.27458356,77.13479373,83.30713002,83.8894259,66.73110741,100
2013,67.28611393,77.39248056,83.11814074,85.46220296,68.09308617,100
2014,67.82070958,77.97688905,83.2054407,87.60645181,69.2500978,100
2015,69.34747193,78.3659161,82.69331471,88.65712457,70.07476581,100
2016,68.91048376,72.98907646,83.59341751,88.91332104,68.83955171,100
2017,69.56664075,70.41917311,85.52604657,90.94815239,69.08922263,100
2018,70.71127221,69.88597725,87.31620681,92.13592938,71.43753177,100
2019,72.62113102,69.45952506,88.33335462,93.1236667,72.81274351,100
2020,75.68312039,70.03362951,88.72040703,92.93245348,74.31253385,100
