X,Polen,Slowakei,Slowenien,Tschechien,Ungarn
2000,-19669,-22301,2747,-27980,16658
2001,-16743,1012,4963,-13805,9691
2002,-17945,-3387,2207,6924,3538
2003,-13765,-2481,3530,20301,15556
2004,-9382,-1085,1719,13021,18162
2005,-12878,-712,6436,30449,17268
2006,-36134,-351,6267,29266,21309
2007,-20485,2316,14250,79193,14568
2008,-14865,2141,18584,67739,16452
2009,-1196,-295,11508,25378,17321
2010,5027,-4929,-521,14334,11519
2011,-11841,2966,2059,16889,12755
2012,-2726,3416,644,10293,16044
2013,-26943,2379,487,-1297,5720
2014,-10935,1713,-490,21661,11219
2015,-12792,3127,507,15977,14354
2016,11507,3885,1051,20064,-1187
2017,4593,3722,1253,28273,18041
2018,22147,3955,14928,38629,32165
2019,20081,3632,16213,44270,33562
2020,3909,4347,18365,26927,8765
