Country,Bilaterale Hilfen,EU-Hilfen
Estland,1.64,0.22
Dänemark,1.61,0.22
Litauen,1.35,0.20
Lettland,1.29,0.22
Finnland,0.82,0.24
Polen,0.68,0.23
Slowakei,0.63,0.23
Niederlande,0.60,0.18
Schweden,0.54,0.20
Tschechien,0.48,0.22
Kroatien,0.42,0.23
Belgien,0.32,0.25
Deutschland,0.37,0.20
Bulgarien,0.30,0.21
Norwegen,0.45,0.00
Grossbritannien,0.43,0.00
Österreich,0.17,0.23
Luxemburg,0.26,0.14
Frankreich,0.14,0.25
Kanada,0.38,0.00
Slowenien,0.14,0.23
Italien,0.09,0.25
USA,0.34,0.00
Spanien,0.09,0.25
Portugal,0.07,0.24
Griechenland,0.07,0.24
Rumänien,0.05,0.22
Ungarn,0.03,0.22
Zypern,0.02,0.24
Malta,0.01,0.20
Irland,0.03,0.14
Island,0.17,0.00
Japan,0.16,0.00
Schweiz,0.10,0.00
Südkorea,0.05,0.00
Australien,0.05,0.00
Neuseeland,0.02,0.00
Türkei,0.01,0.00
Taiwan,0.01,0
