Land,Militärisch,Humanitär,Wirtschaftlich
USA,48.36,2.50,20.14
EU-Institutionen,0.00,2.22,32.34
Deutschland,10,2.94,1.35
Grossbritannien,8.62,0.53,3.14
Japan,0.06,0.98,5.94
Kanada,1.93,0.35,4.60
Dänemark,5.5,0.25,0.18
Niederlande,4.26,0.55,0.70
Polen,2.94,0.36,0.90
Frankreich,2.64,0.35,0.78
Schweden,2.64,0.16,0.33
Finnland,2.00,0.15,0.09
Norwegen,0.90,0.34,0.76
Belgien,1.50,0.06,0.19
Italien,0.98,0.31,0.40
Tschechien,1.18,0.05,0
Spanien,0.54,0.08,0.51
Südkorea,0.01,0.45,0.37
Litauen,0.70,0.09,0.04
Schweiz,0,0.66,0.12
Österreich,0,0.06,0.70
Slowakei,0.67,0.01,0.01
Australien,0.56,0.08,0
Estland,0.50,0.05,0.01
Lettland,0.05,0.01,0.42
Kroatien,0.00,0.08,0.19
Bulgarien,0.00,0.00,0.23
Luxemburg,0.00,0.02,0.19
Portugal,0.00,0.00,0.17
Irland,0.04,0.09,0.00
