Zeitstempel,Messwert; Gefahrenstufe:,2,3,4,5
2024-08-08 00:00,396.247,396.65,396.9,397.15,397.4
2024-08-08 01:00,396.245,396.65,396.9,397.15,397.4
2024-08-08 02:00,396.247,396.65,396.9,397.15,397.4
2024-08-08 03:00,396.247,396.65,396.9,397.15,397.4
2024-08-08 04:00,396.246,396.65,396.9,397.15,397.4
2024-08-08 05:00,396.246,396.65,396.9,397.15,397.4
2024-08-08 06:00,396.247,396.65,396.9,397.15,397.4
2024-08-08 07:00,396.241,396.65,396.9,397.15,397.4
2024-08-08 08:00,396.238,396.65,396.9,397.15,397.4
2024-08-08 09:00,396.236,396.65,396.9,397.15,397.4
2024-08-08 10:00,396.235,396.65,396.9,397.15,397.4
2024-08-08 11:00,396.236,396.65,396.9,397.15,397.4
2024-08-08 12:00,396.239,396.65,396.9,397.15,397.4
2024-08-08 13:00,396.24,396.65,396.9,397.15,397.4
2024-08-08 14:00,396.24,396.65,396.9,397.15,397.4
2024-08-08 15:00,396.238,396.65,396.9,397.15,397.4
2024-08-08 16:00,396.235,396.65,396.9,397.15,397.4
2024-08-08 17:00,396.235,396.65,396.9,397.15,397.4
2024-08-08 18:00,396.233,396.65,396.9,397.15,397.4
2024-08-08 19:00,396.232,396.65,396.9,397.15,397.4
2024-08-08 20:00,396.228,396.65,396.9,397.15,397.4
2024-08-08 21:00,396.229,396.65,396.9,397.15,397.4
2024-08-08 22:00,396.227,396.65,396.9,397.15,397.4
2024-08-08 23:00,396.227,396.65,396.9,397.15,397.4
2024-08-09 00:00,396.227,396.65,396.9,397.15,397.4
2024-08-09 01:00,396.229,396.65,396.9,397.15,397.4
2024-08-09 02:00,396.227,396.65,396.9,397.15,397.4
2024-08-09 03:00,396.224,396.65,396.9,397.15,397.4
2024-08-09 04:00,396.222,396.65,396.9,397.15,397.4
2024-08-09 05:00,396.22,396.65,396.9,397.15,397.4
2024-08-09 06:00,396.219,396.65,396.9,397.15,397.4
2024-08-09 07:00,396.217,396.65,396.9,397.15,397.4
2024-08-09 08:00,396.218,396.65,396.9,397.15,397.4
2024-08-09 09:00,396.219,396.65,396.9,397.15,397.4
2024-08-09 10:00,396.219,396.65,396.9,397.15,397.4
2024-08-09 11:00,396.217,396.65,396.9,397.15,397.4
2024-08-09 12:00,396.215,396.65,396.9,397.15,397.4
2024-08-09 13:00,396.212,396.65,396.9,397.15,397.4
2024-08-09 14:00,396.209,396.65,396.9,397.15,397.4
2024-08-09 15:00,396.207,396.65,396.9,397.15,397.4
2024-08-09 16:00,396.204,396.65,396.9,397.15,397.4
2024-08-09 17:00,396.201,396.65,396.9,397.15,397.4
2024-08-09 18:00,396.198,396.65,396.9,397.15,397.4
2024-08-09 19:00,396.195,396.65,396.9,397.15,397.4
2024-08-09 20:00,396.194,396.65,396.9,397.15,397.4
2024-08-09 21:00,396.193,396.65,396.9,397.15,397.4
2024-08-09 22:00,396.19,396.65,396.9,397.15,397.4
2024-08-09 23:00,396.186,396.65,396.9,397.15,397.4
2024-08-10 00:00,396.185,396.65,396.9,397.15,397.4
2024-08-10 01:00,396.183,396.65,396.9,397.15,397.4
