,id,chart_type,title,subtitle,notes,complex,x_axis_type,y_axis_type,x_axis_min,x_axis_max,y_axis_min,y_axis_max,chart_type_id
0,0023e8fed9d111fed753bb3f6b0afe78,Bar,Auch der Handel mit der EU mit Autoteilen ist aus Sicht der USA defizitär,in Mrd. $,,True,numeric,numeric,2012,2017,5.01155899,20.79092879,0
1,0057a266a9c555637dabccece11c5468,Bar,Besucher am Züri-Fäscht,,,False,numeric,numeric,1998,2019,1500000.0,2500000.0,0
2,005e2925d4b679defb5afa4daef05ee5,Bar,"59,1 % der Italiener sagen «Nein» zur Verfassungsreform",Ergebnis der Volksabstimmung in Prozent,,False,categorical,numeric,,,40.9,59.1,0
3,0062e0b6b75d81b20a18a5ab938ada72,Line,Abkehr von Treasuries,"Rendite 10jährige US-Staatsanleihen, in %",,False,categorical,numeric,02/01/2017,04/12/2017,2.04,2.63,1
4,006f6723bd41797d2bb1e3f65444757f,Line,SMI avanciert kräftig,Kursentwicklung in Punkten,,False,categorical,numeric,01/03/2017,12/29/2017,8229.01,9452.32,1
5,008af45f10ff96b79bbc850c1ee5766d,Bar,Westafrika produziert am meisten Kakao,Schätzungen Produktion 2015/16 in t,,False,categorical,numeric,,,140000.0,1581000.0,0
6,008c17a9b222ca9583df638fc9dbe593,Line,Sechs Prozent Inflation in der Schweiz seit Ende 2020,Landesindex der Konsumentenpreise (Dezember 2020 = 100),,False,numeric,numeric,1.2017,12.2022,99.107,105.9896,1
7,008c17a9b222ca9583df638fc9de316c,Line,Die Inflation in der Schweiz stammt vor allem von den Importgütern,Landesindex der Konsumentenpreise (Dezember 2020 = 100),,True,categorical,numeric,Mär 20,Mär 23,99.6993,111.4387,1
8,0099651643916eeda249aae35ad10f57,Line,Auch im Wasser wird es immer wärmer,"Luft- und Wassertemperatur in Grad Celsius in der Stadt Zürich, Jahresmittel","Messort Lufttemperatur: Zürich Fluntern, Messort Wassertemperatur: Standardbeprobungsstelle / Seebecken vor Thalwil",True,numeric,numeric,1973,2019,7.88,11.24,1
9,009b187b6b1fe7ca85fcde3801554734,Line,Der Niedergang der ZTE-Aktien,Kurs in Hongkong-Dollar,Handel ausgesetzt von 17.4.2018 bis 12.6.2018.,False,categorical,numeric,13.12.2017,13.06.2018,14.96,31.5,1
10,009b187b6b1fe7ca85fcde3801650eb8,Bar,Graubünden wurde von Postauto am stärksten geschröpft,"Umgebuchter Gewinn in der Sparte ""Regionaler Personenverkehr"", nach Region, 2007 bis 2015, in Mio. Fr.","""Umgebuchter Gewinn"" meint vereinfacht gesagt den Betrag, den die Regionen über die eigentlichen Kosten der Firma Postauto hinaus zu viel an Subventionen bezahlt haben.",False,categorical,numeric,,,-0.1,30.4,0
11,009b187b6b1fe7ca85fcde3801e0c555,Line,Die Passagierzahlen steigen 2019 unerwartet stark,"Erfahrungswerte und Prognosen in Prozent, indexiert (2008 = 100)",,True,numeric,numeric,2008,2040,95.34545455,262.5495178,1
12,00aec7859796c11ec7cafabb98300540,Line,Erholung auf tiefem Niveau,"Rand in Franken, indexiert",,False,categorical,numeric,26.02.2016,19.12.2017,57.3953,74.2326,1
13,00aec7859796c11ec7cafabb98d4f575,Bar,Die wichtigsten defizitsenkenden Anpassungen bei der individuellen Einkommenssteuer,"Schätzung der Auswirkungen des Tax Cuts and Jobs Act auf den US-Staatshaushalt, kumuliert 2018-2017, in Mrd. $",,False,categorical,numeric,,,134.0,1212.0,0
14,010aa6a0bdfe0194f6ac81b94f4a7cc6,Line,Biden is more unpopular than his predecessors,"Net popularity ratings of American presidents (approval minus disapproval), in %","Sources: The American Presidency Project, RealClearPolitics",True,numeric,numeric,0,417,-42.6,79.8,1
15,013aa2423f5043129536660cffcac8a1,Bar,Wie viel einem Arbeitnehmer nach Steuern und Sozialabgaben von seinem Gehalt bleibt,"in der Schweiz sind Gesundheitskosten nicht mit eingerechnet, in %, Daten aus 2017",,True,categorical,numeric,,,60.1,85.8,0
