id,title,subtitle,notes,chart_type,x_category,num_columns,num_rows,x_axis_type,y_axis_type,x_axis_min,x_axis_max,y_axis_min,y_axis_max,highlighted_col,highlighted_row,prognosis,events,complex
0313da61de86779a1c0b46f57123b67d,Wunsch und Wirklichkeit decken sich bei der Betreuung von Kleinkindern nicht,"Wie sich Franzosen die Betreuung ihrer Kinder unter 3 Jahren wünschen – und wie sie es tatsächlich machen, in Prozent",,Bar,X,3,5,categorical,numeric,,,2.0,56.0,[],[],,[],True
01da15f0f6a6396873566efb70b639df,Europäer sind die spendabelsten Touristen in Japan,"Ausgaben pro Tourist nach grossen Herkunftsländern im Jahr 2023, in Yen",,Bar,X,2,11,categorical,numeric,,,101110.0,373025.0,[],[],,[],False
07d00172c0f2b9dd3facaed885dd55e1,Xi's visit to Putin in March 2023 gave a strong boost to trade,"Total monthly value of Chinese exports of major military-use goods to Russia, in billions of dollars","Source: <a href=""http://english.customs.gov.cn/statics/report/monthly.html"">General Administration of Customs China</a>",Area,Date,7,30,categorical,numeric,,,313152.0,2464556000.0,[],[],,"[{'type': 'point', 'date': '2-2022', 'label': 'Russia invades Ukraine.'}, {'type': 'range', 'dateFrom': '3-2022', 'dateTo': '6-2022', 'label': 'Ukraine pushes back the Russian armed forces, which then urgently need supplies.'}, {'type': 'point', 'date': '2-2023', 'label': 'Xi visits Putin in Moscow for the first time since the start of the war.'}]",True
0154a0854ad542755c62796906582f56,"Erst kamen die jungen Eritreer, nun die Afghanen",UMA nach Nationalität,,StackedBar,...1,11,19,numeric,numeric,2004,2022,0.0,2451.0,[],[],,[],True
0313da61de86779a1c0b46f571670e55,Der am häufigsten gejagte Rabenvogel ist die Krähe,Jährliche Abschüsse der drei wichtigsten Arten von Rabenvögeln im Kanton Zürich,,StackedBar,Jahr,4,10,numeric,numeric,2013,2022,2.0,2409.0,[],[],,[],True
00aec7859796c11ec7cafabb98d4f575,Die wichtigsten defizitsenkenden Anpassungen bei der individuellen Einkommenssteuer,"Schätzung der Auswirkungen des Tax Cuts and Jobs Act auf den US-Staatshaushalt, kumuliert 2018-2017, in Mrd. $",,Bar,Bestimmung,2,5,categorical,numeric,,,134.0,1212.0,[],[],,,False
01da15f0f6a6396873566efb70cab5e3,Hohe Kaufkraft des Schweizer Durchschnittslohns,"Durchschnittliche Jahreslöhne, kaufkraft- und inflationsbereinigt, umgerechnet in Dollar",,Line,X,6,23,numeric,numeric,2000,2022,43694.3469,72993.0243,[0],[],,[],True
01e843ba181f97facd55faf6789e14f5,Vorsorgelücken in verschiedenen Ländern,"Erforderliche Sparquote (% vom Nettoeinkommen) ab Alter 50, um den gewohnten Lebensstandard zu halten",,Bar,Land,2,24,categorical,numeric,,,0.0,145.0,[],[],,[],False
022a672b3f9fa2b1be4ea3c48a5a7812,Besitz von Handfeuerwaffen: Die Schweiz liegt im 16. Rang,Die 25 Länder mit den meisten Handfeuerwaffen (Anzahl pro 100 Einwohner),,Dotplot,X,2,25,categorical,numeric,,,18.9,120.5,[],[],,,False
0819c8effbf081938ef522a36988066e,China is dependent on imported soybeans,"In millions of tons, per financial year","The figures for 2022/2023 are estimates. Import figures were calculated from the exports of the main suppliers U.S. and Brazil, as they differ from Chinese import figures.<br><br> Source: <a href=”https://www.usda.gov/oce/commodity/wasde/wasde0424.pdf”>USDA</a>",Bar,Year,3,2,numeric,numeric,2022,2023,16.4,104.5,[],[],,,True
01c8403779c54eaa3618b44952bc0e15,In vielen Städten entspannt sich die Lage,"Leerwohnungsziffer in grossen Schweizer Städten, in Prozent",,Arrow,Stadt,3,11,categorical,numeric,,,0.2,2.43,[],[],,,True
016934e7c13b1b546fdea80efd1faae2,Only a small fraction of the migrants ordered to leave France actually do so,,"* Obligation de quitter le territoire français – an expulsion order<br><br>Source: <a href=""https://www.ccomptes.fr"">Court of Accounts</a>",Bar,X,3,5,categorical,numeric,,,500.0,58700.0,[],[],,[],True
0819c8effbf081938ef522a369004eb7,Kein Anstieg bei den Kesb-Massnahmen seit Einführung der Behörde,"Anzahl Personen mit Massnahme pro 10 000 Einwohner in der jeweiligen Altersgruppe, 2014–2023",Zahlen für 2023 ohne minderjährige unbegleitete Asylsuchende. ,Line,Jahr,4,10,numeric,numeric,2014,2023,8.4,69.9,[],[],,[],True
0819c8effbf081938ef522a369288796,Monstergewinne nach mageren Jahren,Reingewinn in Millionen Franken,* Axpo: Geschäftsjahr 2022/23 (per 30. 9.). ** Romande Energie: 139 Millionen Franken durch Alpiq-Beteiligung.,Bar,Firma,3,5,categorical,numeric,,,41.0,3389.0,[],[],,[],True
016934e7c13b1b546fdea80efd365b3b,Die Discounter legen bei Bio zu,Marktanteile der Verkaufskanäle gemessen am gesamten Bio-Umsatz,,StackedBar,X,5,5,numeric,numeric,2018,2022,2.1,89.2,[],[],,[],True
01c8403779c54eaa3618b44952a05470,Vor allem die Jungen zahlen,Mehrbelastung in Franken über die verbleibende Lebensdauer bei Umsetzung des Pakets Steuern/AHV und AHV 21,"Basisjahr 2016. Annahmen: Realzins 2% pro Jahr, Produktivitätswachstum 1%",Bar,Alter,2,21,numeric,numeric,0,100,10.0,30500.0,[],[],,,False
07d00172c0f2b9dd3facaed885e0b980,Frauen sind gestresster als Männer,"Anteil der Erwerbstätigen, die bei der Arbeit meistens oder immer Stress erleben. Angaben in Prozent",,Bar,X,3,3,numeric,numeric,2012,2022,17.0,24.9,[],[],,[],True
0819c8effbf081938ef522a369439be7,"Metas Höhenflug endet, Alphabet holt wieder auf",Aktienkurs in Dollar,,Line,Meta,3,105,categorical,mixed,['26.04.2024' '439.8'],['29.04.2022' '200.47'],,,[],[],,[],True
